period,year,quarter,region,rent_index,asking_mean_eur_sqm,asking_median_eur_sqm,asking_p25_eur_sqm,asking_p75_eur_sqm,index_qoq_pct,index_yoy_pct,is_national_reference
2026-Q1,2026,1,Aachen,142.068222,11.570000,11.250000,9.800000,13.080000,0.892633,4.034870,False
2026-Q1,2026,1,Augsburg,168.092865,14.860000,14.410000,12.630000,16.500000,3.090400,5.904630,False
2026-Q1,2026,1,Berlin,163.323471,15.840000,15.500000,10.850000,19.990000,-1.754809,-0.482277,False
2026-Q1,2026,1,Bielefeld,146.738068,9.920000,9.850000,8.330000,11.310000,0.605666,1.448950,False
2026-Q1,2026,1,Bocholt,143.520020,9.940000,9.690000,8.560000,11.140000,1.008547,3.763997,False
2026-Q1,2026,1,Bochum,151.436584,9.470000,9.440000,8.000000,10.640000,-0.066850,4.684588,False
2026-Q1,2026,1,Bonn,146.064835,13.660000,13.440000,11.760000,15.380000,1.306619,3.464338,False
2026-Q1,2026,1,Braunschweig,133.282318,10.150000,10.000000,8.700000,11.360000,1.571920,3.668924,False
2026-Q1,2026,1,Bremen,149.416763,11.420000,11.250000,9.500000,13.240000,1.069561,2.205691,False
2026-Q1,2026,1,Chemnitz,120.635796,6.190000,6.000000,5.500000,6.580000,0.925198,2.296976,False
2026-Q1,2026,1,Dortmund,153.375107,9.770000,9.510000,8.380000,11.000000,1.058137,3.258030,False
2026-Q1,2026,1,Dresden,142.470764,10.120000,9.530000,8.410000,11.330000,1.293979,5.290338,False
2026-Q1,2026,1,Duisburg,152.376587,8.540000,8.360000,7.330000,9.480000,1.931691,4.300366,False
2026-Q1,2026,1,Düsseldorf,151.958282,14.780000,14.300000,12.220000,16.670000,1.854321,4.379823,False
2026-Q1,2026,1,Erfurt,144.932510,10.120000,10.000000,8.570000,11.630000,2.669519,7.558640,False
2026-Q1,2026,1,Essen,149.565613,9.610000,9.470000,8.210000,10.720000,1.554524,3.942493,False
2026-Q1,2026,1,Frankfurt am Main,145.009430,17.710000,17.310000,14.680000,20.370000,1.167402,2.735046,False
2026-Q1,2026,1,Gelsenkirchen,145.927811,7.560000,7.420000,6.760000,8.140000,0.689299,3.254626,False
2026-Q1,2026,1,Greix,150.121536,14.360000,14.000000,11.640000,16.640000,0.487127,2.941918,True
2026-Q1,2026,1,Hamburg,146.859924,16.350000,15.820000,12.810000,19.400000,1.553799,4.710418,False
2026-Q1,2026,1,Hamm,145.605560,8.330000,8.000000,7.080000,9.340000,1.251177,1.839772,False
2026-Q1,2026,1,Hannover,147.180054,11.770000,11.500000,10.000000,13.510000,1.221053,3.436575,False
2026-Q1,2026,1,Karlsruhe,143.079773,13.600000,13.040000,11.530000,15.060000,-0.114608,1.319582,False
2026-Q1,2026,1,Kiel,156.324768,11.540000,10.980000,9.840000,12.820000,-0.087489,3.156416,False
2026-Q1,2026,1,Kreis Mettmann,149.630280,10.810000,10.790000,9.080000,12.280000,0.700775,3.273892,False
2026-Q1,2026,1,Köln,155.206421,15.670000,15.050000,12.860000,18.280000,0.561016,4.908379,False
2026-Q1,2026,1,Leipzig,168.132324,10.410000,9.930000,8.500000,12.100000,1.114434,3.244242,False
2026-Q1,2026,1,Lübeck,162.643127,12.280000,11.970000,10.380000,14.000000,0.905567,4.879406,False
2026-Q1,2026,1,Mannheim,143.096466,12.590000,12.350000,10.200000,14.500000,0.520515,2.996620,False
2026-Q1,2026,1,Mönchengladbach,162.078171,10.000000,9.960000,8.820000,11.000000,1.391229,6.658846,False
2026-Q1,2026,1,München,154.072235,23.560000,23.000000,20.000000,26.520000,0.413427,3.254593,False
2026-Q1,2026,1,Münster,151.611694,14.270000,14.000000,11.680000,16.310000,1.890706,6.006068,False
2026-Q1,2026,1,Nürnberg,146.721939,12.910000,12.610000,10.970000,14.510000,1.044623,3.114650,False
2026-Q1,2026,1,Potsdam,165.764954,14.680000,14.180000,11.760000,17.480000,-0.504139,4.890186,False
2026-Q1,2026,1,Rhein-Erft-Kreis,155.089539,12.170000,12.050000,10.250000,13.830000,0.705297,4.807431,False
2026-Q1,2026,1,Stuttgart,143.147507,16.250000,15.870000,13.720000,18.460000,-0.156630,1.131086,False
2026-Q1,2026,1,Wiesbaden,143.306213,13.590000,13.280000,11.560000,15.150000,1.188505,4.654479,False
2026-Q1,2026,1,Wuppertal,152.441544,9.060000,8.850000,7.850000,10.000000,0.430325,3.281306,False
