period,year,quarter,region,rent_index,asking_mean_eur_sqm,asking_median_eur_sqm,asking_p25_eur_sqm,asking_p75_eur_sqm,index_qoq_pct,index_yoy_pct,is_national_reference
2012-Q1,2012,1,Aachen,90.341499,7.260000,7.000000,6.000000,8.430000,,,False
2012-Q2,2012,2,Aachen,92.151344,7.570000,7.410000,6.360000,8.670000,2.003337,,False
2012-Q3,2012,3,Aachen,92.858398,7.340000,7.140000,6.030000,8.290000,0.767275,,False
2012-Q4,2012,4,Aachen,92.267265,7.040000,6.850000,5.780000,8.000000,-0.636596,,False
2013-Q1,2013,1,Aachen,94.543724,7.450000,7.270000,6.180000,8.480000,2.467244,4.651489,False
2013-Q2,2013,2,Aachen,94.774292,7.560000,7.290000,6.250000,8.650000,0.243874,2.846348,False
2013-Q3,2013,3,Aachen,96.835052,7.660000,7.390000,6.320000,8.800000,2.174388,4.282493,False
2013-Q4,2013,4,Aachen,96.023376,7.320000,7.080000,6.000000,8.500000,-0.838205,4.070903,False
2014-Q1,2014,1,Aachen,96.790131,7.830000,7.630000,6.550000,8.930000,0.798508,2.376050,False
2014-Q2,2014,2,Aachen,97.410049,7.960000,7.840000,6.700000,9.000000,0.640477,2.781089,False
2014-Q3,2014,3,Aachen,98.507179,7.960000,7.860000,6.670000,9.050000,1.126300,1.726778,False
2014-Q4,2014,4,Aachen,98.274300,7.880000,7.750000,6.540000,9.000000,-0.236409,2.344141,False
2015-Q1,2015,1,Aachen,99.700363,8.040000,7.860000,6.970000,9.000000,1.451105,3.006745,False
2015-Q2,2015,2,Aachen,99.493500,7.990000,7.810000,6.750000,9.070000,-0.207485,2.138845,False
2015-Q3,2015,3,Aachen,100.039703,8.160000,8.000000,6.990000,9.270000,0.548984,1.555749,False
2015-Q4,2015,4,Aachen,100.766426,8.190000,8.000000,6.990000,9.290000,0.726434,2.535888,False
2016-Q1,2016,1,Aachen,102.569931,8.400000,8.280000,7.220000,9.500000,1.789788,2.878192,False
2016-Q2,2016,2,Aachen,102.818314,8.440000,8.300000,7.330000,9.500000,0.242159,3.341740,False
2016-Q3,2016,3,Aachen,103.701668,8.540000,8.410000,7.260000,9.790000,0.859141,3.660511,False
2016-Q4,2016,4,Aachen,103.406807,8.450000,8.290000,7.140000,9.680000,-0.284336,2.620298,False
2017-Q1,2017,1,Aachen,103.826714,8.460000,8.300000,7.300000,9.520000,0.406073,1.225293,False
2017-Q2,2017,2,Aachen,103.690117,8.520000,8.420000,7.380000,9.620000,-0.131562,0.847907,False
2017-Q3,2017,3,Aachen,104.417336,8.480000,8.400000,7.180000,9.610000,0.701338,0.690122,False
2017-Q4,2017,4,Aachen,104.355179,8.380000,8.170000,7.100000,9.400000,-0.059527,0.917127,False
2018-Q1,2018,1,Aachen,105.244759,8.620000,8.490000,7.270000,9.820000,0.852454,1.365781,False
2018-Q2,2018,2,Aachen,105.888466,8.720000,8.580000,7.500000,9.900000,0.611629,2.120114,False
2018-Q3,2018,3,Aachen,107.375313,8.740000,8.570000,7.500000,10.000000,1.404163,2.832841,False
2018-Q4,2018,4,Aachen,107.104179,8.680000,8.530000,7.460000,9.830000,-0.252510,2.634273,False
2019-Q1,2019,1,Aachen,108.166412,8.870000,8.690000,7.620000,10.000000,0.991775,2.776056,False
2019-Q2,2019,2,Aachen,108.596313,9.020000,8.890000,7.670000,10.000000,0.397444,2.557264,False
2019-Q3,2019,3,Aachen,109.709793,9.050000,9.000000,7.810000,10.000000,1.025338,2.174131,False
2019-Q4,2019,4,Aachen,111.176239,8.990000,8.870000,7.690000,10.000000,1.336659,3.801961,False
2020-Q1,2020,1,Aachen,111.043709,9.090000,8.950000,7.780000,10.170000,-0.119207,2.660065,False
2020-Q2,2020,2,Aachen,112.141266,9.130000,9.000000,7.750000,10.100000,0.988401,3.264340,False
2020-Q3,2020,3,Aachen,113.379539,9.320000,9.200000,8.000000,10.330000,1.104209,3.344958,False
2020-Q4,2020,4,Aachen,113.610123,9.260000,9.090000,8.000000,10.150000,0.203373,2.189212,False
2021-Q1,2021,1,Aachen,113.504509,9.330000,9.090000,8.000000,10.530000,-0.092962,2.216064,False
2021-Q2,2021,2,Aachen,114.371399,9.480000,9.330000,8.140000,10.600000,0.763749,1.988682,False
