region,latitude,longitude,osm_type,osm_id,display_name
Aachen,50.7763510,6.0838620,relation,62564,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland"
Augsburg,48.3690341,10.8979522,relation,62407,"Augsburg, Bayern, Deutschland"
Berlin,52.5173885,13.3951309,relation,62422,"Berlin, Deutschland"
Bielefeld,52.0191005,8.5310070,relation,62646,"Bielefeld, Nordrhein-Westfalen, Deutschland"
Bocholt,51.8382715,6.6148669,relation,162715,"Bocholt, Kreis Borken, Nordrhein-Westfalen, Deutschland"
Bochum,51.4818111,7.2196635,relation,62644,"Bochum, Nordrhein-Westfalen, Deutschland"
Bonn,50.7352621,7.1024635,relation,62508,"Bonn, Nordrhein-Westfalen, Deutschland"
Braunschweig,52.2646577,10.5236066,relation,62531,"Braunschweig, Niedersachsen, Deutschland"
Bremen,53.0758196,8.8071646,relation,62559,"Bremen, Deutschland"
Chemnitz,50.8323531,12.9189140,relation,62594,"Chemnitz, Lichtenau, Sachsen, Deutschland"
Dortmund,51.5142273,7.4652789,relation,1829065,"Dortmund, Nordrhein-Westfalen, Deutschland"
Dresden,51.0493286,13.7381437,relation,191645,"Dresden, Sachsen, Deutschland"
Duisburg,51.4349990,6.7595620,relation,62456,"Duisburg, Nordrhein-Westfalen, Deutschland"
Düsseldorf,51.2254018,6.7763137,relation,62539,"Düsseldorf, Nordrhein-Westfalen, Deutschland"
Erfurt,50.9777974,11.0287364,relation,62745,"Erfurt, Thüringen, Deutschland"
Essen,51.4582235,7.0158171,relation,62713,"Essen, Nordrhein-Westfalen, Deutschland"
Frankfurt am Main,50.1106444,8.6820917,relation,62400,"Frankfurt am Main, Hessen, Deutschland"
Gelsenkirchen,51.5110321,7.0960124,relation,62522,"Gelsenkirchen, Nordrhein-Westfalen, Deutschland"
Hamburg,53.5501721,10.0013165,relation,62782,"Hamburg, Deutschland"
Hamm,51.6812810,7.8191185,relation,62499,"Hamm, Nordrhein-Westfalen, Deutschland"
Hannover,52.3744779,9.7385532,relation,59418,"Hannover, Region Hannover, Niedersachsen, Deutschland"
Karlsruhe,49.0068705,8.4034195,relation,62518,"Karlsruhe, Baden-Württemberg, Deutschland"
Kiel,54.3227085,10.1355550,relation,27021,"Kiel, Schleswig-Holstein, Deutschland"
Kreis Mettmann,51.2529687,6.9775860,relation,62423,"Kreis Mettmann, Nordrhein-Westfalen, Deutschland"
Köln,50.9383610,6.9599740,relation,62578,"Köln, Nordrhein-Westfalen, Deutschland"
Leipzig,51.3406321,12.3747329,relation,62649,"Leipzig, Sachsen, Deutschland"
Lübeck,53.8664440,10.6847380,relation,27027,"Lübeck, Schleswig-Holstein, Deutschland"
Mannheim,49.4892913,8.4673098,relation,62691,"Mannheim, Baden-Württemberg, Deutschland"
Mönchengladbach,51.1947131,6.4353792,relation,62410,"Mönchengladbach, Nordrhein-Westfalen, Deutschland"
München,48.1371079,11.5753822,relation,62428,"München, Bayern, Deutschland"
Münster,51.9625101,7.6251879,relation,62591,"Münster, Nordrhein-Westfalen, Deutschland"
Nürnberg,49.4538720,11.0772980,relation,62780,"Nürnberg, Bayern, Deutschland"
Potsdam,52.4009309,13.0591397,relation,62369,"Potsdam, Brandenburg, Deutschland"
Rhein-Erft-Kreis,50.9033400,6.7633340,relation,62661,"Rhein-Erft-Kreis, Nordrhein-Westfalen, Deutschland"
Stuttgart,48.7784485,9.1800132,relation,2793104,"Stuttgart, Baden-Württemberg, Deutschland"
Wiesbaden,50.0820384,8.2416556,relation,62496,"Wiesbaden, Hessen, Deutschland"
Wuppertal,51.2640180,7.1780374,relation,62478,"Wuppertal, Nordrhein-Westfalen, Deutschland"
